mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3301859855651855,0.018920796541883677,0.005765962600708008,0.0010660832887603188,0.01,3,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",-106.0642208000661,-92.84854464579351,-111.33567623705919,-101.16942551664279,-96.90830731216903,-101.66523490234611,6.534167531699744,157
0.3435793876647949,0.034303042932246085,0.005768728256225586,0.0014350448571281568,0.01,3,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",-106.08963756936413,-92.80634231041351,-112.01076016315197,-101.2883090772874,-98.420747177285,-102.1231592595004,6.55294605392993,160
0.6666606426239013,0.006998723659819195,0.007456254959106445,0.0018748508171920082,0.01,3,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",-62.85161018098784,-55.12601220631057,-65.1750574267003,-59.61876457531807,-60.33082496361183,-60.62045387058572,3.3763479555564238,140
0.6625224113464355,0.023409080893407617,0.00648193359375,0.005260219819268572,0.01,3,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",-63.453694872622144,-55.810814043262795,-65.72319823743891,-61.16947026146472,-60.83028944275326,-61.39749337150836,3.3022534110050765,142
1.0075815677642823,0.0648117178518177,0.0069579601287841795,0.004078816504342289,0.01,3,2,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.8}",-41.36090859492276,-37.51499444516082,-43.614519569795654,-39.10647986669973,-40.48453971896248,-40.41628843910829,2.0619773605421114,114
0.8870936393737793,0.05578036924033886,0.004833030700683594,0.004541221695472356,0.01,3,2,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 1.0}",-42.22657705288165,-38.242362025410905,-44.27391442180756,-40.68735893593191,-41.12360966339966,-41.31076441988634,1.9726999400497867,119
0.31511473655700684,0.022520792941510437,0.0010033607482910155,0.002006721496582031,0.01,3,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",-106.0642208000661,-92.84854464579351,-111.33567623705919,-101.16942551664279,-96.90830731216903,-101.66523490234611,6.534167531699744,157
0.32559876441955565,0.006151044646617118,0.004340457916259766,0.003908020466161584,0.01,3,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1.0}",-106.08963756936413,-92.80634231041351,-112.01076016315197,-101.2883090772874,-98.420747177285,-102.1231592595004,6.55294605392993,160
0.6720786094665527,0.024295102919754317,0.008108711242675782,0.0018978121568209974,0.01,3,5,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.8}",-62.85161018098784,-55.12601220631057,-65.1750574267003,-59.61876457531807,-60.33082496361183,-60.62045387058572,3.3763479555564238,140
0.6853137969970703,0.0393474885094823,0.011407089233398438,0.014998939586749515,0.01,3,5,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 1.0}",-63.453694872622144,-55.810814043262795,-65.72319823743891,-61.16947026146472,-60.83028944275326,-61.39749337150836,3.3022534110050765,142
0.9035917758941651,0.033804111014553995,0.006482219696044922,0.004126947449043834,0.01,3,5,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 0.8}",-41.36090859492276,-37.51499444516082,-43.614519569795654,-39.10647986669973,-40.48453971896248,-40.41628843910829,2.0619773605421114,114
0.9339943408966065,0.026878500942124073,0.0054490089416503905,0.0035272651028582054,0.01,3,5,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 1.0}",-42.22657705288165,-38.242362025410905,-44.27391442180756,-40.68735893593191,-41.12360966339966,-41.31076441988634,1.9726999400497867,119
0.3460176944732666,0.011600482035170582,0.004260635375976563,0.005197310044278527,0.01,3,10,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",-106.0642208000661,-92.84854464579351,-111.33567623705919,-101.16942551664279,-96.90830731216903,-101.66523490234611,6.534167531699744,157
0.31127219200134276,0.015237177027017577,0.007174777984619141,0.0033804397772814574,0.01,3,10,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1.0}",-106.08963756936413,-92.80634231041351,-112.01076016315197,-101.2883090772874,-98.420747177285,-102.1231592595004,6.55294605392993,160
0.6625341892242431,0.015413832733212247,0.004411458969116211,0.004405642892734246,0.01,3,10,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.8}",-62.85161018098784,-55.12601220631057,-65.1750574267003,-59.61869513481369,-60.33082496361183,-60.62043998248485,3.376352075966829,139
