mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9952069282531738,0.10710828575222119,0.06271047592163086,0.015083134588142637,True,10,sqrt,5,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 200}",-59.95942411307109,-58.515202730292735,-74.62241923683952,-65.89212602768586,-64.90342260383622,-64.77851894234509,5.66764324245653,25
1.4037667274475099,0.06990358788101085,0.08656158447265624,0.012062604592617083,True,10,sqrt,5,20,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 300}",-60.4249989726501,-59.210439109425,-74.41736219456944,-65.98554654609191,-65.19702563732058,-65.0470744920114,5.369085610547078,29
0.838496732711792,0.00664107514190655,0.06523847579956055,0.005389249797210493,True,10,sqrt,5,30,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 200}",-66.80445103083864,-68.56624726736212,-82.27771292311952,-77.08356464820477,-72.37399429659327,-73.42119403322366,5.6621428578925626,53
1.301402759552002,0.03165555900263222,0.09333395957946777,0.010345049810836646,True,10,sqrt,5,30,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 300}",-67.17021914039849,-68.23860486126941,-83.03844656280145,-76.2941234343225,-72.06354713000106,-73.36098822575858,5.805243640277712,49
0.8785468578338623,0.020833694797492055,0.05545010566711426,0.001968357605584417,True,10,sqrt,10,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 200}",-62.24766947353026,-61.15720777037094,-79.63631127743817,-71.26346607945707,-67.98041193792177,-68.45701330774364,6.70705808616164,45
1.3690524578094483,0.04570395822332961,0.12164869308471679,0.02636930848831839,True,10,sqrt,10,20,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 300}",-62.078661562327184,-61.45187204643373,-79.0505703384407,-70.78378193425544,-67.71665363574631,-68.21630790344068,6.444394694131193,41
0.95561842918396,0.03064628411264149,0.06462998390197754,0.004925151327762248,True,10,sqrt,10,30,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 30, 'n_estimators': 200}",-69.11507205449126,-69.21384966634736,-84.64784323086201,-78.00949984956685,-75.2325014749152,-75.24375325523653,5.831069535650157,61
1.5144583702087402,0.03244079368987456,0.0920945644378662,0.006374081316865968,True,10,sqrt,10,30,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 30, 'n_estimators': 300}",-69.32682554204104,-68.97826307479426,-85.40984967395171,-77.93446795249147,-74.31552183631564,-75.19298561591881,6.094334902876593,57
1.0116880416870118,0.019788893791214554,0.06801209449768067,0.01588341155416405,True,10,log2,5,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 200}",-59.95942411307109,-58.515202730292735,-74.62241923683952,-65.89212602768586,-64.90342260383622,-64.77851894234509,5.66764324245653,25
1.4514626502990722,0.01685394803525851,0.09522891044616699,0.013662267737111418,True,10,log2,5,20,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 300}",-60.4249989726501,-59.210439109425,-74.41736219456944,-65.98554654609191,-65.19702563732058,-65.0470744920114,5.369085610547078,29
0.9084414482116699,0.03268967381422982,0.06570367813110352,0.005344303268314383,True,10,log2,5,30,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 200}",-66.80445103083864,-68.56624726736212,-82.27771292311952,-77.08356464820477,-72.37399429659327,-73.42119403322366,5.6621428578925626,53
1.5176163196563721,0.026758308924742055,0.0872046947479248,0.010643851603770727,True,10,log2,5,30,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 300}",-67.17021914039849,-68.23860486126941,-83.03844656280145,-76.2941234343225,-72.06354713000106,-73.36098822575858,5.805243640277712,49
1.0030336380004883,0.06428275181450757,0.07051730155944824,0.009354758257499705,True,10,log2,10,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 200}",-62.24766947353026,-61.15720777037094,-79.63631127743817,-71.26346607945707,-67.98041193792177,-68.45701330774364,6.70705808616164,45
1.4157549858093261,0.0481833462049884,0.09611349105834961,0.008409086469180893,True,10,log2,10,20,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 300}",-62.078661562327184,-61.45187204643373,-79.0505703384407,-70.78378193425544,-67.71665363574631,-68.21630790344068,6.444394694131193,41
