mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha_1,param_alpha_2,param_fit_intercept,param_lambda_1,param_lambda_2,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.015883779525756835,0.0076571839950929175,0.004497718811035156,0.0033147195869800577,1e-06,1e-06,True,1e-06,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': True, 'lambda_1': 1e-06, 'lambda_2': 1e-06}",-1670.6608819179328,-1566.816364573919,-1778.612222500611,-1432.7828108304386,-1534.1987880097258,-1596.6142135665255,118.51625207068545,25
0.004067373275756836,0.0034209636037791694,0.002039527893066406,0.0019342496836727882,1e-06,1e-06,True,1e-06,1e-05,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': True, 'lambda_1': 1e-06, 'lambda_2': 1e-05}",-1670.6608819182006,-1566.816364573865,-1778.6122225004754,-1432.7828108304873,-1534.1987880095926,-1596.6142135665243,118.51625207068054,24
0.0037163257598876952,0.0006312350705201816,0.001396942138671875,0.0008042385947513645,1e-06,1e-06,True,1e-06,0.0001,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': True, 'lambda_1': 1e-06, 'lambda_2': 0.0001}",-1670.6608819208784,-1566.8163645733252,-1778.612222499116,-1432.7828108309745,-1534.1987880082477,-1596.6142135665084,118.5162520706317,20
0.006765174865722656,0.003129609505861008,0.002297496795654297,0.0013231055972178442,1e-06,1e-06,True,1e-05,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': True, 'lambda_1': 1e-05, 'lambda_2': 1e-06}",-1670.660878747927,-1566.8163652014366,-1778.6122240762566,-1432.7828102606754,-1534.1987895691354,-1596.6142135710863,118.51625212021654,52
0.004717350006103516,0.0006370993772524031,0.0020773887634277345,0.00030048560078598175,1e-06,1e-06,True,1e-05,1e-05,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': True, 'lambda_1': 1e-05, 'lambda_2': 1e-05}",-1670.6608787481925,-1566.816365201383,-1778.6122240761224,-1432.7828102607239,-1534.1987895690013,-1596.6142135710845,118.51625212021194,49
0.0032573223114013674,0.0017855711639713865,0.0011571884155273438,0.0012844167479098053,1e-06,1e-06,True,1e-05,0.0001,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': True, 'lambda_1': 1e-05, 'lambda_2': 0.0001}",-1670.6608787508692,-1566.8163652008434,-1778.612224074765,-1432.782810261211,-1534.1987895676573,-1596.6142135710693,118.51625212016357,47
0.0032327651977539064,0.0012485203920024487,0.002345371246337891,0.0009205323419106408,1e-06,1e-06,True,0.0001,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': True, 'lambda_1': 0.0001, 'lambda_2': 1e-06}",-1670.6608470478495,-1566.816371476621,-1778.6122398327354,-1432.782804563047,-1534.1988051632306,-1596.6142136166968,118.51625261553254,79
0.009873914718627929,0.001766787790928569,0.0017366886138916015,0.002989718820068961,1e-06,1e-06,True,0.0001,1e-05,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': True, 'lambda_1': 0.0001, 'lambda_2': 1e-05}",-1670.6608470481174,-1566.8163714765672,-1778.6122398326004,-1432.7828045630956,-1534.1988051630956,-1596.6142136166952,118.516252615528,76
0.003289937973022461,0.0014805973669239868,0.0022658824920654295,0.002179949643483099,1e-06,1e-06,True,0.0001,0.0001,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': True, 'lambda_1': 0.0001, 'lambda_2': 0.0001}",-1670.6608470507945,-1566.8163714760287,-1778.6122398312411,-1432.7828045635824,-1534.1988051617514,-1596.6142136166795,118.51625261547916,73
0.003810739517211914,0.0007072523026914577,0.0014460563659667968,0.0009813053773769565,1e-06,1e-06,False,1e-06,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': False, 'lambda_1': 1e-06, 'lambda_2': 1e-06}",-834748.328364282,-833719.6515378699,-824447.5614328048,-823986.6308069896,-835997.4786396568,-830579.9301563206,5247.1090709882465,106
0.0041792869567871095,0.0037165591924189076,0.0027080059051513674,0.005416011810302735,1e-06,1e-06,False,1e-06,1e-05,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': False, 'lambda_1': 1e-06, 'lambda_2': 1e-05}",-834748.3283650894,-833719.6515362151,-824447.5614333663,-823986.6308077878,-835997.4786375565,-830579.930156003,5247.10907015296,103
0.00874190330505371,0.002541996579742271,0.0006536006927490235,0.0005352157696708355,1e-06,1e-06,False,1e-06,0.0001,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': False, 'lambda_1': 1e-06, 'lambda_2': 0.0001}",-834748.3283731629,-833719.6515196665,-824447.5614389821,-823986.630815769,-835997.4786165527,-830579.9301528267,5247.109061799605,100
0.0060446739196777345,0.0020992757346669304,0.0009039402008056641,0.0018078804016113282,1e-06,1e-06,False,1e-05,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': False, 'lambda_1': 1e-05, 'lambda_2': 1e-06}",-834748.3189593863,-833719.6673656348,-824447.555010483,-823986.6214021986,-835997.4981253722,-830579.9321726148,5247.117359328233,133
0.0033782482147216796,0.004825347570024132,0.003207540512084961,0.004234773189970663,1e-06,1e-06,False,1e-05,1e-05,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': False, 'lambda_1': 1e-05, 'lambda_2': 1e-05}",-834748.3189601937,-833719.6673639802,-824447.5550110447,-823986.6214029968,-835997.4981232719,-830579.9321722974,5247.117358492866,130
0.005313730239868164,0.003893421785436835,0.0023885726928710937,0.002957090043522995,1e-06,1e-06,False,1e-05,0.0001,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': False, 'lambda_1': 1e-05, 'lambda_2': 0.0001}",-834748.3189682674,-833719.6673474314,-824447.5550166605,-823986.6214109778,-835997.4981022679,-830579.932169121,5247.117350139562,127
0.009260177612304688,0.0026979363609219266,0.003625631332397461,0.003888188309757879,1e-06,1e-06,False,0.0001,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': False, 'lambda_1': 0.0001, 'lambda_2': 1e-06}",-834748.2249114607,-833719.8256448999,-824447.490788192,-823986.5273548492,-835997.6929847236,-830579.952336825,5247.2002441972545,160
0.00883626937866211,0.004681305379984319,0.0016068458557128907,0.001967976220901192,1e-06,1e-06,False,0.0001,1e-05,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': False, 'lambda_1': 0.0001, 'lambda_2': 1e-05}",-834748.224912268,-833719.825643245,-824447.4907887537,-823986.5273556473,-835997.692982623,-830579.9523365074,5247.200243361822,157
0.002574634552001953,0.002117591941031143,0.002794218063354492,0.004634461686250263,1e-06,1e-06,False,0.0001,0.0001,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'fit_intercept': False, 'lambda_1': 0.0001, 'lambda_2': 0.0001}",-834748.224920342,-833719.8256266951,-824447.4907943697,-823986.5273636287,-835997.6929616178,-830579.9523333306,5247.200235007821,154
